,28-Jan,,43528,,,,,,05-Mar,,,,,,,,Mar-14,,,,22-Mar,,,,,,Mar-25,,,,,,Apr-11,,,,,,Apr-12,,Apr-17,,,,19-Apr,,,,Apr-22,,,,,,23.04.2019,,,,,,,,01-Apr,,11049,,42125,,.,,,,May-16,,,,,,44682,,,,,,,,46874,,,,,,47239,,,,Jun-21,,,,Julu 23,,,,,,,,Jul-24,,Jul-25,,Jul-26,,,,,,,,,,Sep-02,,,,,,,,Sep-03,,,,Sep-05,,,,19-Sep,,,,,,Sep-20,,Oct-02,,,,,,,,Dec-01,,,,,,03.12.2019,,,,04.12.2019,,,,,,Jan-22,,,,,,Jan-23,,,,Jan-27,,,,,,Jan-29,,,,Feb-05,,,,10-Feb,,,,13-Feb,,,,,,14-Feb,,,,,,19-Feb,,,,20-Feb,,,,,,,,Feb-26,,,,Mar-03,,,,,,Mar-04,,,,,,Mar-09,,,,,
,1,,2,,3,,4,,2,,3,,4,,5,,4,,5,,1,,2,,3,,1,,2,,3,,1,,2,,3,,1,,1,,2,,1,,2,,1,,2,,3,,1,,2,,3,,4,,1,,1,,1,,2,,3,,1,,2,,3,,1,,2,,3,,4,,1,,2,,3,,1,,2,,1,,2,,1,,2,,3,,4,,1,,1,,1,,2,,3,,5,,6,,1,,2,,3,,4,,3,,4,,1,,2,,2,,3,,4,,1,,1,,2,,3,,4,,2,,4,,5,,1,,2,,2,,3,,4,,1,,2,,3,,1,,2,,1,,2,,3,,1,,2,,1,,2,,1,,2,,1,,2,,3,,1,,2,,3,,1,,2,,1,,2,,3,,4,,1,,2,,1,,2,,3,,1,,2,,3,,1,,2,,3,
Onset Current,667.2799805,,750.7,,424.8,,664.4700195,,360.2399902,,379.2199951,,627.3899902,,,,542,,425.1299805,,502.2399902,,686.2100098,,82.66999512,,225.3800049,,1051.97002,,284.6600098,,349.9800049,,414.9,,409.35,,628.1100098,,,,87.74000244,,384.2399902,,495.65,,166.7300049,,137.9199951,,351.0399902,,277.1,,1304.990039,,1638.290039,,484.8700195,,441.2100098,,543.9799805,,452.5399902,,905.8599609,,446.25,,949.4799805,,659.4299805,,678.9,,809.2299805,,641.9799805,,509.55,,293.2399902,,464.1799805,,855.6900391,,422.1600098,,428.05,,233.75,,135.8599976,,72.75,,489.8799805,,691.9200195,,512.7200195,,925.7799805,,655.1200195,,934.0599609,,823.5,,265.2199951,,837.0400391,,506.05,,553.9,,527.7,,239.45,,829.1200195,,975.3700195,,151.8699951,,90.36999512,,463.35,,458.5200195,,83.18000488,,908.0099609,,654.3,,295.5699951,,525.48,,852.38,,348.5400098,,310.9499951,,63.77499512,,187.5650098,,109.5499951,,,,70.48999756,,710.5599805,,1769.53,,440.9500195,,368.8949902,,225.2850049,,665.9849805,,498.6099805,,535.7650098,,97.51000488,,253.5600049,,812.6450391,,291.53,,537.805,,736.5900098,,362.405,,369.2750195,,91.06000488,,471.8750195,,117.8999951,,88.04999512,,23.42000244,,568.7750195,,266.03,,315.8850049,,55.81000488,,358.655,,64.83,,932.8399609,,723.9349805,,0,,782.9899609,,63.37000244,,76.09999512,,44.63,,401.8699902,,152.6999951,,328.4449902,,364.8150098,,341.5850049,,274.18,
Offset Current,1499.25,,2005.009961,,1582.140039,,2542.980078,,1717.069922,,2398.030078,,2289.530078,,,,2514.459961,,2372.740039,,1755.840039,,1830.590039,,1597.32998,,1374.1,,4061.760156,,2515.680078,,1249.87998,,2111.569922,,2515.680078,,2073.359961,,,,1807.85,,1249.35,,1591.1,,2400.830078,,2516.659961,,1137.87998,,2516.180078,,2515.980078,,2514.580078,,2169.440039,,1555.190039,,1468.940039,,1791.190039,,1723.25,,2515.15,,2492.319922,,2476.6,,2313.5,,4062.369922,,4062.519922,,2868.930078,,2204.540039,,2514.680078,,3301.369922,,2366.480078,,2299.8,,1945.680078,,2226.330078,,2391.940039,,2392.319922,,2584.440039,,2897.240039,,2624.880078,,2823.040039,,2343.869922,,2999.35,,1394.12998,,1506,,1396.52002,,3015.690039,,3157.85,,3310.960156,,4604.869922,,3388.589844,,2266.2,,676.0700195,,2495.940039,,1969.540039,,393.9299805,,2335.459961,,2700.240039,,1999.640039,,3996.690156,,2849.339961,,1858.710078,,2278.920039,,1452.014961,,1479.23,,626.6699902,,,,999.0599805,,1880.824922,,3925.410078,,2498.589961,,1369.820039,,1750.495039,,2590.260078,,3289.210078,,3237.660078,,428.6599805,,2245.760078,,2061.114961,,1189.60998,,2561.314961,,2955.974922,,966.7599805,,2023.224922,,1274.98,,1446.80002,,803.6399609,,1095.90998,,875.7899609,,3249.715156,,1440.95002,,2332.570039,,1210.13,,2118.155,,2288.085078,,2280.774922,,2566.685078,,0,,1660.58,,1114.78,,1892.889961,,1744.720039,,2246.349922,,1671.795039,,1612.255,,2185.170039,,2149.745039,,2200.105,
Current range,831.9700195,,1254.309961,,1157.340039,,1878.510059,,1356.829932,,2018.810083,,1662.140088,,0,,1972.459961,,1947.610059,,1253.600049,,1144.380029,,1514.659985,,1148.719995,,3009.790137,,2231.020068,,899.8999756,,1696.669922,,2106.330078,,1445.249951,,0,,1720.109998,,865.1100098,,1095.45,,2234.100073,,2378.739966,,786.8399902,,2239.080078,,1210.990039,,876.2900391,,1684.57002,,1113.980029,,924.9600586,,1338.650049,,817.3900391,,2068.9,,1542.839941,,1817.17002,,1634.6,,3253.139941,,3420.539941,,2359.380078,,1911.300049,,2050.500098,,2445.679883,,1944.320068,,1871.75,,1711.930078,,2090.470081,,2319.190039,,1902.439941,,1892.52002,,2384.52002,,1699.100098,,2167.92002,,1409.809961,,2175.85,,1128.909985,,668.9599609,,890.4700195,,2461.790039,,2630.15,,3071.510156,,3775.749902,,2413.219824,,2114.330005,,585.7000244,,2032.590039,,1511.02002,,310.7499756,,1427.45,,2045.940039,,1704.070044,,3471.210156,,1996.959961,,1510.170068,,1967.970044,,1388.239966,,1291.66499,,517.1199951,,,,928.5699829,,1170.264941,,2155.880078,,2057.639941,,1000.925049,,1525.210034,,1924.275098,,2790.600098,,2701.895068,,331.1499756,,1992.200073,,1248.469922,,898.0799805,,2023.509961,,2219.384912,,604.3549805,,1653.949902,,1183.919995,,974.925,,685.7399658,,1007.859985,,852.3699585,,2680.940137,,1174.92002,,2016.685034,,1154.319995,,1759.5,,2223.255078,,1347.934961,,1842.750098,,0,,877.5900391,,1051.409998,,1816.789966,,1700.090039,,1844.479932,,1519.095044,,1283.81001,,1820.355029,,1808.160034,,1925.925,
No Spikes,246,,389,,279,,535,,390,,630,,364,,0,,338,,494,,316,,311,,352,,329,,938,,707,,182,,521,,707,,245,,0,,309,,230,,217,,480,,1474,,221,,650,,367,,172,,557,,340,,200,,402,,360,,695,,464,,474,,383,,1063,,1227,,669,,576,,526,,702,,702,,649,,620,,707,,893,,521,,725,,889,,598,,809,,586,,983,,677,,297,,209,,993,,828,,969,,1464,,1205,,674,,155,,755,,510,,117,,523,,727,,679,,1072,,610,,366,,548,,277,,570,,149,,,,313,,278,,663,,597,,223,,353,,483,,1033,,1079,,75,,545,,290,,153,,689,,829,,120,,470,,364,,269,,141,,160,,232,,1050,,479,,579,,398,,617,,484,,503,,590,,0,,324,,231,,483,,416,,542,,484,,278,,508,,450,,689,
Max FR,38.61003876,,45.66210175,,36.10108185,,37.3134346,,38.31417465,,41.66666794,,29.9401207,,,,23.14814758,,36.90036774,,41.32231522,,36.49634933,,29.85074615,,41.32231522,,37.45318222,,47.39336395,,31.15264893,,44.24778748,,45.24886703,,25.31645584,,,,22.67573738,,71.94244385,,28.40909004,,26.80965233,,97.08737946,,40.16064072,,40.32258224,,39.84063721,,27.47252655,,41.84100342,,45.66210175,,29.67358971,,41.32231522,,61.3496933,,48.07692337,,49.50495148,,41.32231522,,34.8432045,,43.66812134,,49.01960754,,38.75968933,,46.08295059,,36.6300354,,54.05405426,,54.05405426,,51.54639053,,57.47126389,,51.02040863,,60.24096298,,40.16064072,,48.78048706,,54.64480972,,49.75124359,,45.45454407,,53.76343918,,67.1140976,,83.33333588,,52.91005325,,38.75968933,,52.91005325,,40.4858284,,50.25125504,,51.81347275,,63.2911377,,44.6428566,,40.65040588,,52.08333206,,48.54368973,,51.02040863,,72.46376801,,46.5116272,,52.91005325,,39.52569199,,46.08295059,,31.25,,34.60207748,,31.05590057,,58.99705124,,52.35602188,,,,42.91845322,,43.10344696,,44.94382095,,40.32258224,,33.5570488,,28.73563194,,38.61003876,,50.12531281,,53.47593689,,32.25806427,,36.49634933,,32.89473724,,30.62787056,,49.50495148,,49.87531281,,25.60819435,,45.5580864,,45.04504395,,43.47826004,,28.16901398,,20.92050171,,39.2156868,,57.1428566,,80.32128143,,41.66666794,,56.02240753,,46.94835663,,29.28257751,,48.78048706,,40,,0,,48.42615128,,28.01120377,,33.89830399,,32.67973709,,43.66812134,,42.37288284,,33.78378296,,39.76143265,,33.95585632,,45.35147476,
Min FR,13.26259995,,13.35113525,,9.871667862,,12.37623787,,7.283321381,,6.5359478,,8.658008575,,,,3.352329969,,6.439149857,,5.515719891,,6.591958046,,4.66635561,,5.32198,,9.398496628,,3.676470518,,6.035003185,,7.235889912,,7.716049194,,3.800836086,,0,,3.903200626,,4.541326046,,1.605909705,,4.60405159,,1.465845823,,10.09081745,,6.622516632,,12.26993847,,5.373455048,,8.576329231,,10.2564106,,8.833922386,,4.686035633,,20.08032036,,9.652509689,,11.89060688,,6.798096657,,5.913660526,,4.608294964,,9.560229301,,5.007511139,,6.868131638,,3.668378592,,7.824726105,,8.163265228,,4.686035633,,7.892659664,,4.249893665,,1.52718389,,4.909180164,,8.810572624,,8.285004616,,3.448275805,,14.3472023,,7.830853462,,5.042864323,,2.717391253,,33.11258316,,4.120313168,,5.373455048,,5.567928791,,5.02008009,,6.5359478,,20.2839756,,4.098360538,,5.518764019,,7.032348633,,7.564296722,,9.832841873,,1.767096639,,8.438818932,,7.757951736,,5.010020256,,5.058168888,,4.95294714,,5.740528107,,4.810004711,,9.389671326,,6.684492111,,,,9.259259224,,2.883090734,,3.361344576,,11.91185188,,3.86996913,,6.476684093,,6.30715847,,2.122916937,,5.760368824,,5.861664772,,7.160758972,,6.884681702,,5.502063274,,5.599103928,,9.174311638,,9.505702972,,7.683442116,,7.541478157,,10.86956501,,7.513147831,,5.494505405,,5.77700758,,4.364906311,,7.633587837,,6.879944801,,7.990411282,,10.1368475,,4.565167904,,20.1409874,,13.75515842,,0,,14.60920334,,5.21920681,,5.656108379,,4.897159576,,9.174311638,,6.263701916,,5.446623325,,6.238303185,,4.498425484,,6.540222168,
Avg Min FR,13.64968268,,13.65863959,,10.71891944,,13.18974559,,9.526270866,,9.662252744,,9.830176353,,,,4.342028538,,6.896617572,,8.727980137,,11.81109715,,5.702701569,,6.276659171,,10.49048074,,7.256149213,,6.907761733,,8.767244657,,8.917159716,,5.408914884,,,,4.732520262,,4.88318189,,5.741621137,,5.462422212,,4.988932848,,10.68474134,,7.850183169,,13.58997949,,5.958593369,,10.71105385,,13.54613113,,9.847419739,,7.099949837,,23.48988787,,10.02718004,,14.97780101,,7.634368579,,6.708659967,,7.499699116,,10.06199932,,6.906527519,,8.737155596,,5.563429594,,10.61110401,,10.32145214,,8.572590669,,10.02858528,,5.352189223,,2.863141974,,7.236552397,,11.32984447,,9.506290754,,9.701947927,,15.20618757,,17.2905852,,9.559951623,,13.82418323,,43.82586416,,5.692788442,,8.533009847,,8.852834702,,6.582153638,,10.20314503,,20.96161715,,5.689915816,,7.623519103,,11.08571879,,9.716886202,,13.41566722,,2.440067132,,10.50497595,,8.080489318,,7.906264623,,5.667088826,,6.20122544,,7.121874491,,5.251307011,,10.86935711,,8.182842255,,,,10.42093849,,5.426389297,,7.717547178,,13.07479509,,6.182826598,,7.593851566,,7.221499443,,8.275259256,,9.415208658,,8.589430968,,8.291962306,,8.646119754,,6.513772329,,9.136224747,,11.94794146,,10.02266502,,9.067008018,,8.844772339,,12.86446444,,9.505623341,,6.41606458,,7.430374146,,8.833623886,,8.31155173,,9.118440946,,9.534126441,,11.08393955,,5.247983774,,22.43402672,,15.29771837,,,,17.76777649,,6.609092236,,6.518941402,,5.528421879,,10.98153432,,7.510964553,,7.810754617,,9.343332926,,5.218723138,,9.670820236,
SPR Slope,0.11480259,,0.092166601,,0.028050191,,0.090338613,,0.114878923,,0.120166719,,0.039982513,,#DIV/0!,,0.025054612,,0.05033259,,0.073568925,,0.133267655,,0.05536179,,0.069658398,,0.093846318,,0.081908356,,0.044484843,,0.096624279,,0.077409241,,0.050045698,,,,0.034567533,,0.055898849,,0.084954969,,0.041341135,,0.086968081,,0.08039151,,0.085424561,,0.07828149,,0.05106925,,0.08213346,,0.091011167,,0.061013777,,0.179433374,,0.124590645,,0.086066826,,0.011772272,,0.054359256,,0.041916111,,0.104536962,,0.060912195,,0.074295092,,0.060161495,,0.065858566,,0.049278353,,0.089905512,,0.079039838,,0.126648472,,0.04185452,,0.036612812,,0.079626958,,0.176218256,,0.075981861,,0.137284603,,0.102125105,,0.121704732,,0.164858576,,0.413789763,,-0.268810968,,0.067728668,,0.22747057,,0.058657249,,0.054423173,,0.086498957,,0.145510146,,0.052972984,,0.092647884,,0.146288627,,0.099296123,,0.254972333,,0.078391031,,0.08743367,,0.087107201,,0.084874099,,0.087242078,,0.05845313,,0.075256403,,0.042182954,,0.137927568,,0.111270605,,#DIV/0!,,0.101470967,,0.059681591,,0.114308172,,0.102545317,,0.075088287,,0.062647618,,0.061874638,,0.179925191,,0.173130416,,0.166312963,,0.050712505,,0.070075506,,0.042179411,,0.083733381,,0.102003192,,0.057351839,,0.06023024,,0.077412152,,0.06902954,,0.078551292,,0.057308744,,0.101628386,,0.133037801,,0.04843943,,0.059646103,,0.102559767,,0.080442913,,0.027967065,,0.041826946,,0.058986988,,,,0.120111406,,0.077044545,,0.072644965,,0.051212673,,0.077343878,,0.074358983,,0.059049937,,0.083611882,,0.064762085,,0.107694085,
Firing Range,25.34743881,,32.31096649,,26.22941399,,24.93719673,,31.03085327,,35.13072014,,21.28211212,,,,19.79581761,,30.46121788,,35.80659533,,29.90439129,,25.18439054,,36.00033522,,28.05468559,,43.71689343,,25.11764574,,37.01189756,,37.53281784,,21.51561975,,0,,18.77253675,,67.4011178,,26.80318034,,22.20560074,,95.62153363,,30.06982327,,33.70006561,,27.57069874,,22.0990715,,33.26467419,,35.40569115,,20.83966732,,36.63627958,,41.26937294,,38.42441368,,37.6143446,,34.52421856,,28.92954397,,39.05982637,,39.45937824,,33.75217819,,39.21481895,,32.96165681,,46.22932816,,45.89078903,,46.8603549,,49.57860422,,46.77051497,,58.71377909,,35.25146055,,39.96991444,,46.35980511,,46.30296779,,31.10734177,,45.93258572,,62.07123327,,80.61594462,,19.79747009,,34.63937616,,47.53659821,,34.91789961,,45.23117495,,45.27752495,,43.00716209,,40.54449606,,35.13164186,,45.05098343,,40.97939301,,41.18756676,,70.69667137,,38.07280827,,45.15210152,,34.51567173,,41.0247817,,26.29705286,,28.86154938,,26.24589586,,49.60737991,,45.67152977,,,,33.65919399,,40.22035623,,41.58247638,,28.41073036,,29.68707967,,22.25894785,,32.30288029,,48.00239587,,47.71556807,,26.3963995,,29.33559036,,26.01005554,,25.12580729,,43.90584755,,40.70100117,,16.10249138,,37.87464428,,37.50356579,,32.60869503,,20.65586615,,15.4259963,,33.43867922,,52.77795029,,72.6876936,,34.78672314,,48.03199625,,36.81150913,,24.71740961,,28.63949966,,26.24484158,,0,,33.81694794,,22.79199696,,28.24219561,,27.78257751,,34.4938097,,36.10918093,,28.33715963,,33.52312946,,29.45743084,,38.81125259,
